indicatorId,geoUnit,year,value,qualifier,magnitude
CR.3,ARG,2014,62.2,,
CR.3,ARG,2016,62.7,,
CR.3,ARG,2017,63,,
CR.3,ARG,2018,63.4,,
CR.3,ARG,2019,63.8,,
CR.3,ARG,2020,64.3,,
CR.3,AUS,2014,86.65,,
CR.3,AUS,2016,87.3,,
CR.3,AUS,2018,90.31,,
CR.3,BRA,2014,61.1,,
CR.3,BRA,2015,63.3,,
CR.3,BRA,2016,64,,
CR.3,BRA,2017,64.2,,
CR.3,BRA,2018,66.3,,
CR.3,BRA,2019,69.3,,
CR.3,BRA,2020,73,,
CR.3,BRA,2021,73.4,,
CR.3,BRA,2022,73.5,,
CR.3,BRA,2023,73.7,,
CR.3,CAN,2015,90.93,,
CR.3,CAN,2016,92.66,,
CR.3,CAN,2017,93.95,,
CR.3,CHN,2014,60.87,,
CR.3,CHN,2016,61.23,,
CR.3,CHN,2018,74.99413299560547,,
CR.3,CHN,2020,87.52,,
CR.3,DEU,2014,79.28,,
CR.3,DEU,2015,78.75999999999999,,
CR.3,DEU,2016,79.77,,
CR.3,DEU,2017,79.97999999999999,,
CR.3,DEU,2018,78.95,,
CR.3,DEU,2019,79.69000000000001,,
CR.3,DEU,2020,81.28,,
CR.3,DEU,2021,78.36999999999999,,
CR.3,FRA,2014,86.97,,
CR.3,FRA,2015,86.66,,
CR.3,FRA,2016,88.05,,
CR.3,FRA,2017,86.71,,
CR.3,FRA,2018,87.92,,
CR.3,FRA,2019,87.91,,
CR.3,FRA,2020,88.06,,
CR.3,FRA,2021,91.44,,
CR.3,GBR,2014,82.55,,
CR.3,GBR,2015,84.26,,
CR.3,GBR,2016,82.97,,
CR.3,GBR,2017,83.3,,
CR.3,GBR,2018,82.74000000000001,,
CR.3,GBR,2019,84.47,,
CR.3,IDN,2017,63.11069869995117,,
CR.3,IDN,2022,42.99,,
CR.3,IND,2016,43.03144073486328,,
CR.3,IND,2019,50.63235092163086,,
CR.3,ITA,2014,81.13,,
CR.3,ITA,2015,81.25,,
CR.3,ITA,2016,81.98,,
CR.3,ITA,2017,83.07,,
CR.3,ITA,2018,82.59,,
CR.3,ITA,2019,83.43,,
CR.3,ITA,2020,84.61,,
CR.3,ITA,2021,84.61999999999999,,
CR.3,MEX,2014,52.3,,
CR.3,MEX,2015,51.36523818969727,,
CR.3,MEX,2016,54.8,,
CR.3,MEX,2018,58.7,,
CR.3,MEX,2020,61.5,,
CR.3,MEX,2022,64.1,,
CR.3,RUS,2018,91.34,,
CR.3,RUS,2019,91.34,,
CR.3,RUS,2020,91.19,,
CR.3,RUS,2021,90.08,,
CR.3,RUS,2022,90.06,,
CR.3,TUR,2014,55.8748893737793,,
CR.3,TUR,2018,64.25,,
CR.3,TUR,2022,73.21,,
CR.3,USA,2015,92.98905181884766,,
CR.3,USA,2016,93.58892059326172,,
CR.3,USA,2017,93.96498107910156,,
CR.3,USA,2018,92.64,,
CR.3,USA,2019,93.4,,
CR.3,USA,2020,95.0361099243164,,
CR.3,USA,2021,94.57929992675781,,
CR.3,USA,2022,92.54332733154297,,
CR.3,USA,2023,92.84526824951172,,
CR.3,ZAF,2016,48.52037048339844,,
CR.3,ZAF,2020,61.45637893676758,,
CR.3,ZAF,2021,63.20650863647461,,
CR.3,ZAF,2022,57.73508071899414,,
CR.3,ZAF,2023,59.6890983581543,,
CR.3,ZAF,2024,62.21466827392578,,